company,label_standardized,category_display,complaint_count,timely_rate,late_response_count,high_risk_count,avg_narrative_word_count
"ACIMA CREDIT, LLC",debt_collection,Debt Collection,1,1.0,0,0,188.0
"ACIMA CREDIT, LLC",payday_loan_title_loan_or_personal_loan,Payday / Personal Loan,1,1.0,0,0,179.0
AES/PHEAA,credit_reporting,Credit Reporting,3,1.0,0,2,270.3333333333333
AES/PHEAA,student_loan,Student Loan,14,1.0,0,7,372.57142857142856
ALLY FINANCIAL INC.,bank_account,Bank Account,2,1.0,0,0,226.5
ALLY FINANCIAL INC.,money_transfer,Money Transfer,1,1.0,0,0,193.0
ALLY FINANCIAL INC.,vehicle_loan_or_lease,Vehicle Loan / Lease,3,1.0,0,2,240.0
AMERICAN EXPRESS COMPANY,credit_card_or_prepaid_card,Credit Card / Prepaid Card,3,1.0,0,0,171.33333333333334
AMERICAN EXPRESS COMPANY,debt_collection,Debt Collection,1,1.0,0,0,37.0
AMERICAN HONDA FINANCE CORP,credit_reporting,Credit Reporting,3,1.0,0,0,217.66666666666666
AMERISAVE MORTGAGE CORPORATION,mortgage,Mortgage,1,1.0,0,1,759.0
AVANTE,debt_collection,Debt Collection,1,1.0,0,0,43.0
"Ability Recovery Services, LLC",debt_collection,Debt Collection,1,1.0,0,0,290.0
Ad Astra Recovery Services Inc,credit_reporting,Credit Reporting,1,1.0,0,0,62.0
"Advance America, Cash Advance Centers, Inc.",debt_collection,Debt Collection,1,1.0,0,1,358.0
"Advanced Collection Bureau, Inc.",debt_collection,Debt Collection,1,1.0,0,0,151.0
Alliance Data Card Services,credit_card_or_prepaid_card,Credit Card / Prepaid Card,8,1.0,0,4,280.875
Alliance Data Card Services,credit_reporting,Credit Reporting,2,1.0,0,0,90.5
Alliance Data Card Services,debt_collection,Debt Collection,1,1.0,0,0,129.0
"American Credit Acceptance, LLC",credit_reporting,Credit Reporting,1,1.0,0,0,106.0
"American Financial Resources, Inc.",mortgage,Mortgage,1,1.0,0,1,329.0
"American Profit Recovery, Inc., Marlborough, MA Branch",debt_collection,Debt Collection,1,1.0,0,0,143.0
"Amsher Collection Services, Inc.",credit_reporting,Credit Reporting,1,1.0,0,0,202.0
"Amsher Collection Services, Inc.",debt_collection,Debt Collection,1,1.0,0,1,830.0
"Applied Data Finance, LLC",debt_collection,Debt Collection,1,1.0,0,0,193.0
"Associated Credit Services, Inc.",debt_collection,Debt Collection,1,1.0,0,1,335.0
"Auto Advantage Finance, LLC",vehicle_loan_or_lease,Vehicle Loan / Lease,1,1.0,0,0,144.0
Avant Credit Corporation,credit_reporting,Credit Reporting,1,1.0,0,1,370.0
"Avid Acceptance, LLC",vehicle_loan_or_lease,Vehicle Loan / Lease,1,1.0,0,0,268.0
"BALANCED HEALTHCARE RECEIVABLES, LLC",debt_collection,Debt Collection,1,1.0,0,0,47.0
"BANK OF AMERICA, NATIONAL ASSOCIATION",bank_account,Bank Account,8,1.0,0,2,248.125
"BANK OF AMERICA, NATIONAL ASSOCIATION",credit_card_or_prepaid_card,Credit Card / Prepaid Card,7,1.0,0,2,286.14285714285717
"BANK OF AMERICA, NATIONAL ASSOCIATION",credit_reporting,Credit Reporting,2,1.0,0,1,302.5
"BANK OF AMERICA, NATIONAL ASSOCIATION",debt_collection,Debt Collection,2,1.0,0,0,102.0
"BANK OF AMERICA, NATIONAL ASSOCIATION",money_transfer,Money Transfer,3,1.0,0,0,257.6666666666667
"BANK OF AMERICA, NATIONAL ASSOCIATION",mortgage,Mortgage,2,1.0,0,0,47.5
"BANK OF AMERICA, NATIONAL ASSOCIATION",vehicle_loan_or_lease,Vehicle Loan / Lease,1,1.0,0,1,481.0
BANK OF THE WEST,bank_account,Bank Account,1,1.0,0,0,167.0
BANK OF THE WEST,vehicle_loan_or_lease,Vehicle Loan / Lease,1,1.0,0,0,220.0
BARCLAYS BANK DELAWARE,credit_card_or_prepaid_card,Credit Card / Prepaid Card,3,1.0,0,0,126.33333333333333
BARCLAYS BANK DELAWARE,credit_reporting,Credit Reporting,2,1.0,0,0,147.5
BBVA FINANCIAL CORPORATION,bank_account,Bank Account,2,1.0,0,0,143.0
BBVA FINANCIAL CORPORATION,mortgage,Mortgage,1,1.0,0,1,1839.0
BMO HARRIS BANK NATIONAL ASSOCIATION,mortgage,Mortgage,1,1.0,0,1,451.0
BTH Management,debt_collection,Debt Collection,1,1.0,0,0,217.0
Berco Finance Corp,credit_reporting,Credit Reporting,1,1.0,0,0,180.0
"Better Mortgage, Inc.",mortgage,Mortgage,1,0.0,1,1,164.0
"Bliksum, LLC",debt_collection,Debt Collection,1,1.0,0,0,62.0
