Company,label_clean,complaint_count,timely_rate
Experian Information Solutions Inc.,credit_reporting,115,1.0
"EQUIFAX, INC.",credit_reporting,113,0.9911504424778761
"TRANSUNION INTERMEDIATE HOLDINGS, INC.",credit_reporting,111,1.0
"Navient Solutions, LLC.",student_loan,22,1.0
JPMORGAN CHASE & CO.,credit_card_or_prepaid_card,18,1.0
CAPITAL ONE FINANCIAL CORPORATION,credit_card_or_prepaid_card,17,1.0
AES/PHEAA,student_loan,14,1.0
"CITIBANK, N.A.",credit_card_or_prepaid_card,14,1.0
JPMORGAN CHASE & CO.,bank_account,14,1.0
SYNCHRONY FINANCIAL,credit_card_or_prepaid_card,12,1.0
WELLS FARGO & COMPANY,bank_account,9,0.7777777777777778
WELLS FARGO & COMPANY,mortgage,8,1.0
"BANK OF AMERICA, NATIONAL ASSOCIATION",bank_account,8,1.0
Midwest Recovery Systems,debt_collection,8,0.75
Alliance Data Card Services,credit_card_or_prepaid_card,8,1.0
ENCORE CAPITAL GROUP INC.,debt_collection,7,1.0
"BANK OF AMERICA, NATIONAL ASSOCIATION",credit_card_or_prepaid_card,7,1.0
WELLS FARGO & COMPANY,credit_card_or_prepaid_card,7,0.8571428571428571
U.S. BANCORP,credit_card_or_prepaid_card,6,1.0
"CITIBANK, N.A.",bank_account,6,1.0
"Shellpoint Partners, LLC",mortgage,6,0.8333333333333334
CAPITAL ONE FINANCIAL CORPORATION,credit_reporting,6,1.0
"CCS Financial Services, Inc.",debt_collection,6,1.0
"Nelnet, Inc.",student_loan,5,1.0
"Paypal Holdings, Inc",money_transfer,5,1.0
"EQUIFAX, INC.",debt_collection,5,1.0
"CITIBANK, N.A.",credit_reporting,5,1.0
WELLS FARGO & COMPANY,credit_reporting,5,1.0
"Navient Solutions, LLC.",credit_reporting,4,1.0
Ocwen Financial Corporation,mortgage,4,1.0
DISCOVER BANK,credit_card_or_prepaid_card,4,1.0
NAVY FEDERAL CREDIT UNION,bank_account,4,1.0
"SELECT PORTFOLIO SERVICING, INC.",mortgage,4,1.0
"FLAGSTAR BANK, FSB",mortgage,4,1.0
MONEYGRAM PAYMENT SYSTEMS WORLDWIDE INC,money_transfer,4,1.0
Resurgent Capital Services L.P.,debt_collection,4,1.0
"Diversified Consultants, Inc.",debt_collection,4,1.0
AMERICAN HONDA FINANCE CORP,credit_reporting,3,1.0
FIRST NATIONAL BANK OF OMAHA,credit_card_or_prepaid_card,3,1.0
AES/PHEAA,credit_reporting,3,1.0
"Fay Servicing, LLC",mortgage,3,1.0
Freedom Mortgage Company,mortgage,3,1.0
AMERICAN EXPRESS COMPANY,credit_card_or_prepaid_card,3,1.0
PNC Bank N.A.,bank_account,3,1.0
WELLS FARGO & COMPANY,money_transfer,3,1.0
JPMORGAN CHASE & CO.,debt_collection,3,1.0
Santander Consumer USA Holdings Inc.,vehicle_loan_or_lease,3,1.0
JPMORGAN CHASE & CO.,credit_reporting,3,1.0
M&T BANK CORPORATION,mortgage,3,1.0
BARCLAYS BANK DELAWARE,credit_card_or_prepaid_card,3,1.0
SYNCHRONY FINANCIAL,credit_reporting,3,1.0
JPMORGAN CHASE & CO.,money_transfer,3,1.0
"I.Q. DATA INTERNATIONAL, INC.",debt_collection,3,1.0
"BANK OF AMERICA, NATIONAL ASSOCIATION",money_transfer,3,1.0
HSBC NORTH AMERICA HOLDINGS INC.,bank_account,3,1.0
ALLY FINANCIAL INC.,vehicle_loan_or_lease,3,1.0
Ditech Financial LLC,mortgage,3,1.0
"General Motors Financial Company, Inc.",credit_reporting,3,1.0
"General Motors Financial Company, Inc.",vehicle_loan_or_lease,3,1.0
"Convergent Resources, Inc.",debt_collection,3,1.0
"Complete Credit Solutions, Inc.",debt_collection,2,1.0
"SUNRISE CREDIT SERVICES, INC",debt_collection,2,1.0
"STERLING JEWELERS, INC.",debt_collection,2,1.0
SLM CORPORATION,student_loan,2,1.0
"Credit Protection Association, L.P.",debt_collection,2,1.0
DISCOVER BANK,debt_collection,2,1.0
"Dovenmuehle Mortgage, Inc.",mortgage,2,1.0
"Commonwealth Financial Systems, Inc.",debt_collection,2,1.0
NAVY FEDERAL CREDIT UNION,debt_collection,2,1.0
"LAKEVIEW LOAN SERVICING, LLC",mortgage,2,1.0
JPMORGAN CHASE & CO.,mortgage,2,1.0
"LoanCare, LLC",mortgage,2,1.0
NETSPEND CORPORATION,credit_card_or_prepaid_card,2,1.0
"ID Analytics, Inc.",credit_reporting,2,1.0
"NRA Group, LLC",credit_reporting,2,1.0
HSBC NORTH AMERICA HOLDINGS INC.,debt_collection,2,1.0
"Opportunity Financial, LLC",payday_loan_title_loan_or_personal_loan,2,0.5
PHH Mortgage Services Corporation,mortgage,2,1.0
Phoenix Financial Services LLC,debt_collection,2,1.0
"GVA Holdings, LLC",payday_loan_title_loan_or_personal_loan,2,1.0
"Commonwealth Financial Systems, Inc.",credit_reporting,2,1.0
GREAT LAKES,student_loan,2,1.0
PNC Bank N.A.,payday_loan_title_loan_or_personal_loan,2,1.0
"FIRST CITIZENS BANCSHARES, INC.",mortgage,2,1.0
"Populus Financial Group, Inc. (F/K/A Ace Cash Express)",debt_collection,2,1.0
"FAIR COLLECTIONS & OUTSOURCING, INC.",debt_collection,2,1.0
"Retrieval-Masters Creditors Bureau, Inc., Elmsford, NY Branch",debt_collection,2,1.0
ERC,debt_collection,2,1.0
ERC,credit_reporting,2,1.0
NATIONSTAR MORTGAGE,mortgage,2,1.0
"CITIBANK, N.A.",debt_collection,2,1.0
CARD Corporation,credit_card_or_prepaid_card,2,0.5
"CITIZENS FINANCIAL GROUP, INC.",bank_account,2,1.0
"BANK OF AMERICA, NATIONAL ASSOCIATION",credit_reporting,2,1.0
"BANK OF AMERICA, NATIONAL ASSOCIATION",debt_collection,2,1.0
SYNCHRONY FINANCIAL,debt_collection,2,1.0
"Caliber Home Loans, Inc.",mortgage,2,1.0
TMX Finance LLC,payday_loan_title_loan_or_personal_loan,2,1.0
TD BANK US HOLDING COMPANY,bank_account,2,1.0
"BANK OF AMERICA, NATIONAL ASSOCIATION",mortgage,2,1.0
Specialized Loan Servicing Holdings LLC,mortgage,2,1.0
"TRANSUNION INTERMEDIATE HOLDINGS, INC.",debt_collection,2,1.0
Alliance Data Card Services,credit_reporting,2,1.0
BARCLAYS BANK DELAWARE,credit_reporting,2,1.0
BBVA FINANCIAL CORPORATION,bank_account,2,1.0
U.S. BANCORP,bank_account,2,1.0
"Credit Karma, LLC",credit_reporting,2,0.5
ALLY FINANCIAL INC.,bank_account,2,1.0
"The CMI Group, Inc.",debt_collection,2,1.0
Bridgecrest Acceptance Corporation,credit_reporting,2,1.0
TOYOTA MOTOR CREDIT CORPORATION,vehicle_loan_or_lease,2,1.0
Zenith Financial Network Inc,debt_collection,1,1.0
"Northern Trust Company, The",debt_collection,1,1.0
"ONEMAIN FINANCIAL HOLDINGS, LLC.",payday_loan_title_loan_or_personal_loan,1,1.0
"American Profit Recovery, Inc., Marlborough, MA Branch",debt_collection,1,1.0
